name,TUITIONFEE_IN,TUITIONFEE_OUT,ADM_RATE_ALL,SAT_AVG_ALL
Clovis Adult Education,NULL,NULL,NULL,NULL
Coastline Community College,1148,6548,NULL,NULL
Cogswell College,19648,19648,0.640350877,NULL
Coleman University,20725,20725,NULL,NULL
Coba Academy,NULL,NULL,NULL,NULL
Western University of Health Sciences,NULL,NULL,NULL,NULL
Columbia College,1162,6778,NULL,NULL
Columbia College Hollywood,24495,24495,0.495291902,NULL
Compton College,1142,5846,NULL,NULL
Contra Costa College,1312,8424,NULL,NULL
Cosumnes River College,1104,8208,NULL,NULL
Crafton Hills College,1143,7527,NULL,NULL
Cuesta College,1338,6824,NULL,NULL
Cuyamaca College,1386,7196,NULL,NULL
Cypress College,1142,6154,NULL,NULL
De Anza College,1552,8752,NULL,NULL
International School of Beauty Inc,NULL,NULL,NULL,NULL
Dell'Arte International School of Physical Theatre,13350,13350,NULL,NULL
College of the Desert,1335,7663,NULL,NULL
Design Institute of San Diego,22510,22510,0.5,NULL
Diablo Valley College,1312,8424,NULL,NULL
Dominican University of California,44690,44690,0.884306374,1127
Dominican School of Philosophy & Theology,NULL,NULL,NULL,NULL
East Los Angeles College,1220,7016,NULL,NULL
El Camino Community College District,1142,5846,NULL,NULL
Elegance International,NULL,NULL,NULL,NULL
Emperor's College of Traditional Oriental Medicine,NULL,NULL,NULL,NULL
Empire College,NULL,NULL,NULL,NULL
Evergreen Valley College,1356,7852,NULL,NULL
FIDM-Fashion Institute of Design & Merchandising-Los Angeles,32293,32293,0.406487582,NULL
FIDM-Fashion Institute of Design & Merchandising-San Francisco,32293,32293,0.406487582,NULL
FIDM-Fashion Institute of Design & Merchandising-Orange County,32293,32293,0.406487582,NULL
Feather River Community College District,1461,8511,NULL,NULL
Federico Beauty Institute,NULL,NULL,NULL,NULL
Fielding Graduate University,NULL,NULL,NULL,NULL
Five Branches University,NULL,NULL,NULL,NULL
Hair California Beauty Academy,NULL,NULL,NULL,NULL
Redondo Beach Beauty College,NULL,NULL,NULL,NULL
Foothill College,1554,8752,NULL,NULL
Franciscan School of Theology,NULL,NULL,NULL,NULL
Fredrick and Charles Beauty College,NULL,NULL,NULL,NULL
Fresno City College,1304,6944,NULL,NULL
Fresno Pacific University,30458,30458,0.723916533,1050
Fuller Theological Seminary,NULL,NULL,NULL,NULL
Fullerton College,1138,6010,NULL,NULL
Gavilan College,1166,6374,NULL,NULL
Gemological Institute of America-Carlsbad,NULL,NULL,NULL,NULL
Glendale Community College,1175,6335,NULL,NULL
Glendale Career College,NULL,NULL,NULL,NULL
Golden Gate University-San Francisco,16095,16095,NULL,NULL
Golden West College,1178,6578,NULL,NULL
Graduate Theological Union,NULL,NULL,NULL,NULL
Grossmont College,1386,7196,NULL,NULL
Salon Success Academy-Riverside,NULL,NULL,NULL,NULL
Hartnell College,1420,7670,NULL,NULL
Harvey Mudd College,54636,54636,0.154242276,1527
Hilltop Beauty School,NULL,NULL,NULL,NULL
Holy Names University,38188,38188,0.525617398,857
Pacifica Graduate Institute,NULL,NULL,NULL,NULL
Humboldt State University,7493,19373,0.818300882,1062
Humphreys University-Stockton and Modesto Campuses,14004,14004,NULL,NULL
Imperial Valley College,1142,5774,NULL,NULL
Institute for Business and Technology,NULL,NULL,NULL,NULL
Interior Designers Institute,18250,18250,NULL,NULL
Toni & Guy Hairdressing Academy-Santa Monica,NULL,NULL,NULL,NULL
Irvine Valley College,1142,7958,NULL,NULL
Bellus Academy-El Cajon,NULL,NULL,NULL,NULL
John F. Kennedy University,NULL,NULL,NULL,NULL
American Jewish University,30938,30938,0.829268293,NULL
Reedley College,1304,6944,NULL,NULL
Life Pacific College,14884,14884,0.966887417,1002
Argosy University-The Art Institute of California-San Diego,18742,18742,NULL,NULL
University of La Verne,41450,41450,0.475411882,1106
Laguna College of Art and Design,29800,29800,0.334625323,NULL
Lake Tahoe Community College,1224,7269,NULL,NULL
Lancaster Beauty School,NULL,NULL,NULL,NULL
Laney College,1230,7110,NULL,NULL
Lassen Community College,1127,5951,NULL,NULL
Life Chiropractic College West,NULL,NULL,NULL,NULL
Lincoln University,10830,10830,NULL,NULL
Southern California Seminary,15600,15600,NULL,NULL
La Sierra University,32130,32130,0.482077542,994
Loma Linda University,NULL,NULL,NULL,NULL
Long Beach City College,1188,7500,NULL,NULL
Southern California University of Health Sciences,8244,8244,NULL,NULL
Los Angeles Harbor College,1220,7538,NULL,NULL
Los Angeles Pierce College,1220,7770,NULL,NULL
Los Angeles Southwest College,1220,7538,NULL,NULL
Los Angeles Trade Technical College,1220,7538,NULL,NULL
Los Angeles Valley College,1220,7538,NULL,NULL
The Master's University and Seminary,33020,33020,0.65802269,1116
Los Angeles City College,1220,7538,NULL,NULL
Los Angeles County College of Nursing and Allied Health,NULL,NULL,NULL,NULL
Los Angeles Mission College,1220,7538,NULL,NULL
Los Medanos College,1312,8424,NULL,NULL
Argosy University-The Art Institute of California-San Francisco,18742,18742,NULL,NULL
Loyola Marymount University,46386,46386,0.524803329,1307
Lu Ross Academy,NULL,NULL,NULL,NULL
Lyle's College of  Beauty,NULL,NULL,NULL,NULL
Lytles Redwood Empire Beauty College Inc,NULL,NULL,1,NULL
MTI Business College Inc,NULL,NULL,NULL,NULL
MTI College,NULL,NULL,0.942307692,NULL
Brightwood College-Sacramento,NULL,NULL,NULL,NULL
Brightwood College-San Diego,NULL,NULL,NULL,NULL
Brightwood College-Vista,NULL,NULL,NULL,NULL
College of Marin,1490,9320,NULL,NULL
Marymount California University,35884,35884,NULL,NULL
Mendocino College,1423,7063,NULL,NULL
Menlo College,41350,41350,0.429873217,1086
Merced College,1150,6115,NULL,NULL
Merritt College,1230,7110,NULL,NULL
Mills College,46236,46236,0.870967742,NULL
MiraCosta College,1152,6768,NULL,NULL
Mission College,1185,6105,NULL,NULL
Modern Beauty Academy,NULL,NULL,NULL,NULL
Brightwood College-Los Angeles-Van Nuys,NULL,NULL,NULL,NULL
Modesto Junior College,1162,6778,NULL,NULL
Moler Barber College,NULL,NULL,NULL,NULL
Middlebury Institute of International Studies at Monterey,NULL,NULL,0.170950724,1446
Monterey Peninsula College,1176,6792,NULL,NULL
Moorpark College,1388,7050,NULL,NULL
Mt San Antonio College,1349,8741,NULL,NULL
Mount Saint Mary's University,39608,39608,0.81207483,1013
Mt San Jacinto Community College District,1386,8946,NULL,NULL
Musicians Institute,24030,24030,0.800438596,NULL
Napa Valley College,1142,6758,NULL,NULL
National Holistic Institute,NULL,NULL,NULL,NULL
National University,13016,13016,NULL,NULL
Naval Postgraduate School,NULL,NULL,NULL,NULL
Newschool of Architecture and Design,26463,26463,0.99122807,NULL
Newberry School of Beauty,NULL,NULL,NULL,NULL
North Adrian's College of Beauty Inc,NULL,NULL,NULL,NULL
North-West College-Pomona,NULL,NULL,NULL,NULL
North-West College-West Covina,NULL,NULL,0.678756477,NULL
North-West College-Van Nuys,NULL,NULL,NULL,NULL
Notre Dame de Namur University,34196,34196,0.936218679,995
Occidental College,52838,52838,0.417859779,1370
Ohlone College,1162,6730,NULL,NULL
Orange Coast College,1186,7690,NULL,NULL
Otis College of Art and Design,45620,45620,0.9125387,NULL
Oxnard College,1388,7050,NULL,NULL
Hope International University,31800,31800,0.309574468,1009
Concorde Career College-San Diego,NULL,NULL,0.87732342,NULL
Palo Alto University,NULL,NULL,NULL,NULL
Pacific Oaks College,NULL,NULL,NULL,NULL
Pacific School of Religion,NULL,NULL,NULL,NULL
Pacific States University,16005,16005,NULL,NULL
Pacific Union College,29469,29469,0.50210084,1055
University of the Pacific,46346,46346,0.648729333,1220
Palo Verde College,1288,7380,NULL,NULL
Palomar College,1338,7386,NULL,NULL
Pasadena City College,1348,7004,NULL,NULL
Pepperdine University,51992,51992,0.398496241,1319
Pitzer College,52236,52236,0.16200373,NULL
Platt College-San Diego,17235,17235,NULL,NULL
Point Loma Nazarene University,34600,34600,0.762886598,1211
Pomona College,51075,51075,0.08358209,1461
Porterville College,1322,7258,NULL,NULL
Professional Institute of Beauty,NULL,NULL,NULL,NULL
Santa Ana College,1142,8032,NULL,NULL
Pardee RAND Graduate School,NULL,NULL,NULL,NULL
Shasta School of Cosmetology,NULL,NULL,NULL,NULL
